414/89,020 TIM m,Text,414/89,11/10/1989,,,000-099,,Available,,,,,IDR,,,,Membina Perpustakaan Sekolah
3199,408,Text,3199,14 mei 2002,,,400-499,,Available,,,,,IDR,,,,mangan Ora mangan Kumpul
090,408,Text,090,26 Maret 1987,,,400-499,,Available,,,,,IDR,,,,Angkatan '66 Prosa Dan Puisi
-,420,Text,-,-,,,400-499,,Available,,,,,IDR,,,,Structure And Reading Comprehension For SMP 1B Semester 2
4863,411.52,Text,4863,16 Oktober 2009,,,400-499,,Available,,,,,IDR,,,,EYD Lengkap
0450,410.1,Text,0450,29-Nov-86,,,400-499,,Available,,,,,IDR,,,,Argumentasi Dan Narasi Komosisi lanjutan III
-,8x0.9,Text,-,-,,,400-499,,Available,,,,,IDR,,,,Buku Dan Pengarang
4862,411.52,Text,4862,16 Oktober 2009,,,400-499,,Available,,,,,IDR,,,,EYD Lengkap
0957,410,Text,0957,22-Nov-88,,,400-499,,Available,,,,,IDR,,,,Pengantar Linguistik Umum Fonetik Dan Fonemik Seri D
-,420,Text,-,-,,,400-499,,Available,,,,,IDR,,,,English Objective Tests For SMP 3a
-,420,Text,-,-,,,400-499,,Available,,,,,IDR,,,,English Objective Tests For SMP 3b
6511,420.076,Text,6511,5 .juni 2016,,,400-499,,Available,,,,,IDR,,,,"Cara Cespleng Pintar bahasa Inggris SMP Kelas 7,8,9"
3738,420,Text,3738,7 Oktober 2005,,,400-499,,Available,,,,,IDR,,,,Indonesia Folk Tales
3787,420,Text,3787,7 Oktober 2005,,,400-499,,Available,,,,,IDR,,,,Folk tales From Bali And Lombok
841,420,Text,841,23 Oktober 1990,,,400-499,,Available,,,,,IDR,,,,Favourite Stories FromCentral Asia
2187,420,Text,2187,23 Agustus 1995,,,400-499,,Available,,,,,IDR,,,,Favourite Chinese Stories
2189,420,Text,2189,23 Agustus 1995,,,400-499,,Available,,,,,IDR,,,,Favourite Stories From India
2188,420,Text,2188,23 Agustus 1995,,,400-499,,Available,,,,,IDR,,,,Favourite Stories From Taiwan
2185,420,Text,2185,23 Agustus 1995,,,400-499,,Available,,,,,IDR,,,,More Favourite Stories From Sri Lanka
2190,420,Text,2190,23 Agustus 1995,,,400-499,,Available,,,,,IDR,,,,Favourite Stories From Hong Kong 
2184,420,Text,2184,23 Agustus 1995,,,400-499,,Available,,,,,IDR,,,,More FavouriteChinese Stories
844,420,Text,844,23 Oktober 1990,,,400-499,,Available,,,,,IDR,,,,Favourite Stories From Burma
2198,420,Text,2198,23 Agustus 1995,,,400-499,,Available,,,,,IDR,,,,More Favourite Stories From Vietnam
0273,420,Text,0273,9 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,John Wesley
0248,420,Text,0248,10 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,The Fireman
0239,420,Text,0239,7-Nov-84,,,400-499,,Available,,,,,IDR,,,,Under The Ground
0236,420,Text,0236,16 Maret 1985,,,400-499,,Available,,,,,IDR,,,,Man And His Car
0240,420,Text,0240,9 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,Poilar Regions
-,420,Text,-,10 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,Birds And How They Live
0234,420,Text,0234,9 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,Moutains
0236,420,Text,0236,9 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,Man And His Car
-,420,Text,-,,,,400-499,,Available,,,,,IDR,,,,Trains
0247,420,Text,0247,9 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,Chocolate And Cocoa
0237,420,Text,0237,9 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,Homes
-,420,Text,-,9 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,SOLDIERS
,,Text,,9 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,Roads
0214,420,Text,0214,9 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,The Tree And Its Word
0262,420,Text,0262,9 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,james I And The Gunpowder Plot
0241,420,Text,0241,9 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,Leaves
,420,Text,,9 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,Sounds
0271,420,Text,0271,9 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,Bonnie Prince Charlie
0245,420,Text,0245,9 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,Bread
0251,420,Text,0251,10 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,African Mammls
3005,420,Text,3005,17 zoktober 2001,,,400-499,,Available,,,,,IDR,,,,Adventure At The Castle
0275,420,Text,0275,8 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,Samuel Pepys
0270,420,Text,0270,9 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,Oliver Cromwell
0242,420,Text,0242,9 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,Seals And Whales
0274,420,Text,0274,9 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,Henry II And Thomas Becket
4853,420,Text,4853,12 Juli 2008,,,400-499,,Available,,,,,IDR,,,,Rasco And The Rats Of Nimh
6191,420,Text,6191,12 Maret 2014,,,400-499,,Available,,,,,IDR,,,,Bright An English Course For Junior High School Students 1
0951,410,Text,0951,22-Nov-88,,,400-499,,Available,,,,,IDR,,,,Ilmu Bahasa Pengantar
404,419,Text,404,8 Agustus 2012,,,400-499,,Available,,,,,IDR,,,,Bahan Ajar Basa Jawa kanggo Siswa-Siswi Tingkat SMP/MTs Kelas VII
5641,420,Text,5641,17 Juli 2011,,,400-499,,Available,,,,,IDR,,,,English Grammar In Use
4385,420,Text,4385,16-Nov-07,,,400-499,,Available,,,,,IDR,,,,Cara Termudah Membuata kalimat Percakapab bahasa Inggris
-,410,Text,-,-,,,400-499,,Available,,,,,IDR,,,,Bahasa Indonesia Dalam Era Globalisasi
#REF!,419,Text,#REF!,-,,,400-499,,Available,,,,,IDR,,,,Pinter Basa Jawa Gagrag Anyar Kelas VII SMP/MTs
6512,420,Text,6512,5 Juni 2016,,,400-499,,Available,,,,,IDR,,,,70 English Games Fun & Learning
4159,420,Text,4159,25  Mei 2007,,,400-499,,Available,,,,,IDR,,,,Mastery Of Sixteen Tenses
0943,410,Text,0943,22-Nov-88,,,400-499,,Available,,,,,IDR,,,,Bahasa Dan Pikiran
744,410,Text,744,23 Oktober 1990,,,400-499,,Available,,,,,IDR,,,,"Kalimat Efektif : Struktur, Gaya, Dan Variasi"
0770,419,Text,0770,-,,,400-499,,Available,,,,,IDR,,,,Nyerat Jawi
2073,420,Text,2073,14 Maret 1995,,,400-499,,Available,,,,,IDR,,,,The Old Widow And The Fish
107,408,Text,107,20-Sep-88,,,400-499,,Available,,,,,IDR,,,,Robohnya Surau Kami
2974,415,Text,2974,17 Oktober 2001,,,400-499,,Available,,,,,IDR,,,,Sintaksisi Edisi Kedua
-,420,Text,-,-,,,400-499,,Available,,,,,IDR,,,,ENGLISH 900
3899,420,Text,3899,6 Juli 2006,,,400-499,,Available,,,,,IDR,,,,The Best Pet 
-,420,Text,-,,,,400-499,,Available,,,,,IDR,,,,Bimingan Tes EBTANAS Bahasa Inggris SMP
5275,420,Text,5275,16-Sep-10,,,400-499,,Available,,,,,IDR,,,,Honesty
2140,420,Text,2140,7 Februari 2002,,,400-499,,Available,,,,,IDR,,,,Tan Guei
-,420,Text,-,-,,,400-499,,Available,,,,,IDR,,,,English Book 5 901
-,419,Text,-,-,,,400-499,,Available,,,,,IDR,,,,Pinter Basa  Untuk Kelas 1 SLTP
-,419,Text,-,-,,,400-499,,Available,,,,,IDR,,,,Pinter Basa 2 Piwulang basa jawa Muatan Lokal Wajib Jawa Timur Kanggo SLTP Lan Sing Sadrajad
0504,410,Text,0504,20 Januari 1987,,,400-499,,Available,,,,,IDR,,,,Inti Tata Bahasa Indonesia Jilid 1
0505,410,Text,0505,20 Januari 1987,,,400-499,,Available,,,,,IDR,,,,Inti Tata Bahasa Indonesia Jilid 2
0506,410,Text,0506,20 Januari 1987,,,400-499,,Available,,,,,IDR,,,,Inti Tata Bahasa Indonesia Jilid 3
7120,420,Text,7120,17-Sep-19,,,400-499,,Available,,,,,IDR,,,,Tenses Thru Stories :Belajar Tenses Gampang Lewat Cerita 
2401,419.21,Text,2401,26 Januari 1996,,,400-499,,Available,,,,,IDR,,,,Ngleluri Basa Jawa SLTP Kelas 1
2632,419,Text,2632,10 Oktober 1997,,,400-499,,Available,,,,,IDR,,,,Gladi Basa SLTP  kelas 2 (2B)
2607,419.21,Text,2607,1 Agustus 1992,,,400-499,,Available,,,,,IDR,,,,LKS/LTS Bahasa Jawa SMP 3A
971,419,Text,971,2 januari 1991,,,400-499,,Available,,,,,IDR,,,,Nglestari Basa Jawi SMP 2
,419,Text,,-,,,400-499,,Available,,,,,IDR,,,,Kridha Basa 2
-,415,Text,-,-,,,400-499,,Available,,,,,IDR,,,,Terampil Menerapkan Kaidah Ejaan Bahasa Indonesia
2062,420,Text,2062,14 maret 1995,,,400-499,,Available,,,,,IDR,,,,More Favourite Stories From Indonesia
2423,419.21,Text,2423,8 Februari 1996,,,400-499,,Available,,,,,IDR,,,,Serat Piwulang Basa Lan Sastra jawa SMTP 1
2424,419.21,Text,2424,8 Februari 1996,,,400-499,,Available,,,,,IDR,,,,Serat Piwulang Basa Lan Sastra jawa SMTP 2
2425,419.21,Text,2425,8 Februari 1996,,,400-499,,Available,,,,,IDR,,,,Serat Piwulang Basa Lan Sastra jawa SMTP 3
2427,419.21,Text,2427,8 Februari 1996,,,400-499,,Available,,,,,IDR,,,,Kunci Serat Piwulang Basa Lan Sastra Jawa SMTP  Jilid 1
2428,419.21,Text,2428,8 Februari 1996,,,400-499,,Available,,,,,IDR,,,,Kunci Serat Piwulang Basa Lan Sastra Jawa SMTP Jilid 2
2429,419.21,Text,2429,8 Februari 1996,,,400-499,,Available,,,,,IDR,,,,Kunci Serat Piwulang Basa Lan Sastra Jawa SMTP Jilid 3
1315,4x2.2,Text,1315,15 Mei 1992,,,400-499,,Available,,,,,IDR,,,,Widya Basa  Piwulang basa Jawi
2434,419.21,Text,2434,8 Februari 1996,,,400-499,,Available,,,,,IDR,,,,Pandom Panuntun Kridha Basa kangge Kelas 1 SMP
1901,419.21,Text,1901,24 Agustus 1994,,,400-499,,Available,,,,,IDR,,,,Pandom Panuntun Kridha Basa kangge Kelas 2 SMP
2436,419,Text,2436,8 Februari 1996,,,400-499,,Available,,,,,IDR,,,,Pandom Panuntun Kridha Basa kangge Kelas 3 SMP
880,419,Text,880,13-Apr-88,,,400-499,,Available,,,,,IDR,,,,Kridha Basa 1
970,419,Text,970,2 januari 1991,,,400-499,,Available,,,,,IDR,,,,Nglestari Basa Jawi SMP 1
972,419,Text,972,2 januari 1991,,,400-499,,Available,,,,,IDR,,,,Nglestari Basa Jawi SMP 2
2004,4x0.1,Text,2004,22-Nov-94,,,400-499,,Available,,,,,IDR,,,,Pembakuan Babasa Indonesia
544,413,Text,544,2 Juni 1990,,,400-499,,Available,,,,,IDR,,,,Himpunan Singkatan Dan Akronim Disertai Keterangan
373,408,Text,373,26 Juni1987,,,400-499,,Available,,,,,IDR,,,,Ketika Burung Verkicau
0299,410.152,Text,0299,19 Februari 1986,,,400-499,,Available,,,,,IDR,,,,Pedoman Umum Ejaan bahasa Indonesia yang Disempurnakan
4698,420,Text,4698,23 Juni 2009,,,400-499,,Available,,,,,IDR,,,,"I Am Gifted, So Are You! Adam Khoo"
3635,425,Text,3635,27 Oktober 2009,,,400-499,,Available,,,,,IDR,,,,The Pronoun And The Determinative
5642,420,Text,5642,17 januari 2011,,,400-499,,Available,,,,,IDR,,,,Checkpint Biology
2070,420,Text,2070,14 maret 1995,,,400-499,,Available,,,,,IDR,,,,A Tale From Sumatra Tungku Tiga
-,420,Text,-,-,,,400-499,,Available,,,,,IDR,,,,This Away To America
-,420,Text,-,-,,,400-499,,Available,,,,,IDR,,,,Courage
3765,411,Text,3765,4 Maret 2006,,,400-499,,Available,,,,,IDR,,,,Menulis : Meningkatkan Dan Menjual Kecerdasan Verbal-Linguistik Anda
1999,408,Text,1999,22-Nov-94,,,400-499,,Available,,,,,IDR,,,,Proses Kreatif Mengapa Dan bagaimana saya Mengarang II
740,400,Text,740,23 Oktober 1990,,,400-499,,Available,,,,,IDR,,,,Inilah Bahasa Indonesia Yang Benar II
741,400,Text,741,23 Oktober 1990,,,400-499,,Available,,,,,IDR,,,,Inilah Bahasa Indonesia Yang Benar III
3766,411.5,Text,3766,4 Maret 2006,,,400-499,,Available,,,,,IDR,,,,Bahasa Indonesia Dalam Problematika Kekinian
0338,410.1,Text,0338,1-Apr-85,,,400-499,,Available,,,,,IDR,,,,Argumentasi Dan Narasi
723,410,Text,723,23 Oktober 1990,,,400-499,,Available,,,,,IDR,,,,Pengajaran Kosakata
7854,420,Text,7854,24 Desember 2024,,,400-499,,Available,,,,,IDR,,,,"Pintar Bahasa Inggris Untuk SMP kelas 1,2 3"
-,490,Text,-,,,,400-499,,Available,,,,,IDR,,,,Kridha Basa 3
4923,400.1,Text,4923,12 Agustus 2008,,,400-499,,Available,,,,,IDR,,,,Anda mau Jadi Pengarang?
-,404,Text,-,-,,,400-499,,Available,,,,,IDR,,,,Tata Bunyi Bahasa Tompembuni
7178,408,Text,7178,20 Februari 2020,,,400-499,,Available,,,,,IDR,,,,Struktur Bahasa Ngadha Dialek Rongga
7173,419,Text,7173,20 Februari 2020,,,400-499,,Available,,,,,IDR,,,,Nilai Budaya Dalam Ungkapan Dan Peribahasa Sunda
5360,420,Text,5360,29-Sep-10,,,400-499,,Available,,,,,IDR,,,,English For Leisure Time Speaking
4649,495.1,Text,4649,2 Juli 2008,,,400-499,,Available,,,,,IDR,,,,Belajar Cepata Bahasa Mandarin
2891,4x0.3,Reference,2891,21 Maret 2021,,,400-499,,Available,,,,,IDR,,,,Kamus 2500 Peribahasa Indonesia
1995,411,Text,1995,22-Nov-94,,,400-499,,Available,,,,,IDR,,,,Teknik Mengarang
285,411,Text,285,21-Sep-84,,,400-499,,Available,,,,,IDR,,,,Mengarang Itu Gampang
2355,411,Text,2355,11 Januari 1996,,,400-499,,Available,,,,,IDR,,,,Tangkas Mengarang Pelajaran Mengarang SLTP
404,419,Text,404,8 Agustus 2012,,,400-499,,Available,,,,,IDR,,,,Bahan Ajar Basa Jawa 7 kagem  Siswa-Siswi Tingkat SMP/MTs Kelas VII
3746,411,Text,3746,7 Oktober 2005,,,400-499,,Available,,,,,IDR,,,,mahir Menulis Berbagai laporan
7176,417,Text,7176,20 Februari 2020,,,400-499,,Available,,,,,IDR,,,,Jenis Dan Fungsi Humor Dalam Masyarakat Aceh
4533,428,Text,4533,21 Mei 2008,,,400-499,,Available,,,,,IDR,,,,Inspiration For Your Happiness
7737,411,Text,7737,28 Februari 2023,,,400-499,,Available,,,,,IDR,,,,Writing Super Guide For Today's Learners
7875,421.55,Text,7875,17-Apr-24,,,400-499,,Available,,,,,IDR,,,,1 Just One Minute Mudah Dan Cepat Cas Cis Cus Berbahasa Inggris
5640,420,Text,5640,17 Juli 2011,,,400-499,,Available,,,,,IDR,,,,English Grammar In Use Third Edition
6440,419,Text,6440,30-Sep-15,,,400-499,,Available,,,,,IDR,,,,Kawruh Basa Jawa Pepak
6415,419,Text,6415,11-Sep-15,,,400-499,,Available,,,,,IDR,,,,Pepak basa Jawa Lengkap
6423,419,Text,6423,11-Sep-15,,,400-499,,Available,,,,,IDR,,,,Pepak basa Jawa Lengkap
6411,419,Text,6411,11-Sep-15,,,400-499,,Available,,,,,IDR,,,,Mumpuni Basa Jawi Pepak
6427,419,Text,6427,11-Sep-15,,,400-499,,Available,,,,,IDR,,,,Buku Pinter Kawruh basa Jawi Pepak
-,419,Text,-,11-Sep-15,,,400-499,,Available,,,,,IDR,,,,Buku Pinter basa Jawa  (KTSP 2006)
3130,420,Text,3130,7 Februari 2002,,,400-499,,Available,,,,,IDR,,,,Science Boosters 2
-,419,Text,-,-,,,400-499,,Available,,,,,IDR,,,,Dalan Mujur Ngetan ( Antologi Cekak)
-,420,Text,-,10 Agustus 1984,,,400-499,,Available,,,,,IDR,,,,Animals And How They Live
5212,410,Text,5212,22 Juli 2010,,,400-499,,Available,,,,,IDR,,,,Cermat Berbahasa Indonesia
2997,420,Text,2997,17 Oktober 2001,,,400-499,,Available,,,,,IDR,,,,Just Kidding
7886,411,Text,7886,18-Apr-14,,,400-499,,Available,,,,,IDR,,,,Cermat Menulis Dalam Bahasa Indonesia
7895,420,Text,7895,23-Apr-24,,,400-499,,Available,,,,,IDR,,,,Teknik Membaca Textbook Dan Penterjemahan
7329,420,Text,7329,6-Nov-20,,,400-499,,Available,,,,,IDR,,,,Learning More Information & Communication Technology 3 
8013,413,Reference,8013,30-Apr-25,,,400-499,,Available,,,,,IDR,,,,Kamus Lengkap IPA Untuk SMP-SMA
8015,425.076,Text,8015,30-Apr-25,,,400-499,,Available,,,,,IDR,,,,Mastering English Tenses Grammar Vocabulary
8012,413,Reference,8012,30-Apr-25,,,400-499,,Available,,,,,IDR,,,,kamus Pintar Biologi SMP-SMA
7235,420,Text,7235, 1 September 2020,,,400-499,,Available,,,,,IDR,,,,Detik-Detik Ujian Nasional Bahasa Inggris 2019-2020
7663,420,Text,7663,3 Oktober 2022,,,400-499,,Available,,,,,IDR,,,,Jago Ngomong Inggris Gampaaang 
8087,495.6,Reference,8087,29-Sep-25,,,400-499,,Available,,,,,IDR,,,,Kamus Indonesia-Jepang Era Global 
8088,495.1,Reference,8088,29-Sep-25,,,400-499,,Available,,,,,IDR,,,,Kamus Praktis Sehari-hari Bahasa Indonesia Mandarin
8089,400.3,Reference,8089,29-Sep-25,,,400-499,,Available,,,,,IDR,,,,Kamus Geografi Edisi tematik dan Visual 
4640,567,Text,4640,16 Mei 2009,,,500-599,,Available,,,,,IDR,,,, APA BEDANYA AMFIBI 
6816,550,Text,6816,17 Juli 2017,,,500-599,,Available,,,,,IDR,,,,Rahasiaku Ensiklopediku : Inilah Bumiku!
3917,523.1,Text,3917,9 Juli 2006,,,500-599,,Available,,,,,IDR,,,,100 Keajaiban Alam Dunia
4304,595,Text,4304,6 Oktober 2007,,,500-599,,Available,,,,,IDR,,,,100 Pengetahuan Tentang Serangga & Laba-Laba
5312,500,Text,5312,27-Sep-10,,,500-599,,Available,,,,,IDR,,,,1000 Fakta Tentang Sains
2249,510,Text,2249,6-Sep-95,,,500-599,,Available,,,,,IDR,,,,131 Permainan & Teka-Teki Matematika Yang Mengasyikan
7566,567,Text,7566,8 Maret 2022,,,500-599,,Available,,,,,IDR,,,,200 fakta Penting Dinosaurus Raksasa pemakan Tumbuhan
6142,590,Text,6142,3 Januari 2014,,,500-599,,Available,,,,,IDR,,,,217 Fakta Superaneh Dunia Binatang
4343,500.2,Text,4343,2-Nov-07,,,500-599,,Available,,,,,IDR,,,,A+ Proyek Lomba Dan Pameran Sains
4332,574,Text,4332,2-Nov-07,,,500-599,,Available,,,,,IDR,,,,A+ Proyek-Proyek Biologi
4331,530,Text,4331,2-Nov-07,,,500-599,,Available,,,,,IDR,,,,A+ Proyek-Proyek Fisika
4729,574,Text,4729,24 Juni 2009,,,500-599,,Available,,,,,IDR,,,,Adaptasi Dan Kemampuan Bertahan Hidup
0164,551.48,Text,0164,18 Oktober 1984,,,500-599,,Available,,,,,IDR,,,,air
7430,553.7,Text,7430,4 Februari 2021,,,500-599,,Available,,,,,IDR,,,,AIR SERI EKOLOGI
4472,551.48,Text,4472,15 Januari 2009,,,500-599,,Available,,,,,IDR,,,,Air Terjun
0128,523.1,Text,0128,9 Agustus 1984,,,500-599,,Available,,,,,IDR,,,,ALAM SEMESTA
4804,523.4,Text,4804,26 Agustus 2009,,,500-599,,Available,,,,,IDR,,,,Alam Semesta Yang Menakjubkan
1469,574,Text,1469,8-Sep-92,,,500-599,,Available,,,,,IDR,,,,Alat-Alat Tubuh Mahkluk Hidup
2923,590,Text,2923,19 Juli 2001,,,500-599,,Available,,,,,IDR,,,,Aman Dalam Kelompok
0655,597.9,Text,0655,-,,,500-599,,Available,,,,,IDR,,,,Amphibia Dan Reptilia 1
0525,597.92,Text,0525,23 Januari 1987,,,500-599,,Available,,,,,IDR,,,,Anatomi cacing
0526,595.384.04,Text,0526,23 Januari 1987,,,500-599,,Available,,,,,IDR,,,,ANATOMI UDANG
7893,551.5,Text,7893,23-Apr-24,,,500-599,,Available,,,,,IDR,,,,ANGIN : Mengenal Cuaca 
4639,598,Text,4639,16 Mei 2009,,,500-599,,Available,,,,,IDR,,,,Apa Bedanya Burung
4637,590,Text,4637,16 Mei 2009,,,500-599,,Available,,,,,IDR,,,,Apa Bedanya Mamalia
4649,568.1,Text,4649,16 Mei 2009,,,500-599,,Available,,,,,IDR,,,,Apa Bedanya Reptilia
4648,595,Text,4648,16 Mei 2009,,,500-599,,Available,,,,,IDR,,,,Apa Bedanya Serangga
106,500,Text,106,27 Januari 1979,,,500-599,,Available,,,,,IDR,,,,Apa Dan Kenapa ? 21
0558,590,Text,0558,28 Januari 1989,,,500-599,,Available,,,,,IDR,,,,Apa Dan Kenapa ? 22
499,523.78,Text,499,16 januari 1989,,,500-599,,Available,,,,,IDR,,,,Apa Mengapa bagaimana Gerhana Matahari
0231,523.4,Text,0231,6 Agustus 1984,,,500-599,,Available,,,,,IDR,,,,Apakah Benar Ada Kehidupan Luar Bumi?
7544,536,Text,7544,21 Februari 2022,,,500-599,,Available,,,,,IDR,,,,API
4721,541.3,Text,4721,24 Juni 2009,,,500-599,,Available,,,,,IDR,,,,Asam Dan Basa : Dunia Sains Kimia
4895,520,Text,4895,12 Agustus 2008,,,500-599,,Available,,,,,IDR,,,,Astronomi Ilmu Tentang Alam Semesta
4345,520,Text,4345,2-Nov-07,,,500-599,,Available,,,,,IDR,,,,Astronomi Setiap Galaksi mrmiliki Lubang Hitam
4606,599,Text,4606,13-Apr-09,,,500-599,,Available,,,,,IDR,,,,Atlas Binatang Mamalia 1
4444,591.5,Text,4444,6 Januari 2008,,,500-599,,Available,,,,,IDR,,,,Atlas Dinosaurus
4445,591,Text,4445,6 Januari 2009,,,500-599,,Available,,,,,IDR,,,,Atlas Hewan
0166,599,Text,0166,18 Oktober 1984,,,500-599,,Available,,,,,IDR,,,,ATOM
4244,539,Text,4244,27 Juli 2007,,,500-599,,Available,,,,,IDR,,,,Atom Dan Moleku
5528,570,Text,5528,3 Maret 2011,,,500-599,,Available,,,,,IDR,,,,Ayo Bermain sains
4362,551.6,Text,4362,2-Nov-11,,,500-599,,Available,,,,,IDR,,,,Badai Dan Angin Topan
4300,590,Text,4300,6 Oktober 2007,,,500-599,,Available,,,,,IDR,,,,Bagaimana Binatang makan
6608,420,Text,6608,25 Januari 2017,,,500-599,,Available,,,,,IDR,,,,Erlangga Express UN SMP/Mts 2017 Bahasa Inggris
553,552,Text,553,17 Januari 2001,,,500-599,,Available,,,,,IDR,,,,Batu Dan Mineral
4190,552,Text,4190,`12 Juli 2017,,,500-599,,Available,,,,,IDR,,,,"Batuan ,Mineral, Dan Fosil"
4871,552,Text,4871,19 Oktober 2009,,,500-599,,Available,,,,,IDR,,,,BATUAN DAN FOSIL
2889,553,Text,2889,16 maret 2004,,,500-599,,Available,,,,,IDR,,,,Batuan Dan Mineral
0502,537.5,Text,0502,20 Januari 1987,,,500-599,,Available,,,,,IDR,,,,Belajar Elektronika 2
285,581,Text,285,6 Desember 1998,,,500-599,,Available,,,,,IDR,,,,Benalu Hortikultura Pengendalian Dan Pemanfaatan
3191,551.5,Text,3191,5 Maret 2002,,,500-599,,Available,,,,,IDR,,,,Bencana Buatan Manusia Atmosfer Dalam Bahaya
0134,510,Text,0134,6 Agustus 1984,,,500-599,,Available,,,,,IDR,,,,BENTUK
113,500,Text,113,28-Apr-94,,,500-599,,Available,,,,,IDR,,,,Bermain Dengan Pengetahuan
4635,530,Text,4635,16 Mei 2009,,,500-599,,Available,,,,,IDR,,,,Bermain Fisika Itu Asyik
2864,580,Text,2864,17 Januari 2001,,,500-599,,Available,,,,,IDR,,,,"Biji, Umbi, dan Spora"
0126,513,Text,0126,6 Agustus 1984,,,500-599,,Available,,,,,IDR,,,,BILANGAN
2887,590,Text,2887,16 maret 2004,,,500-599,,Available,,,,,IDR,,,,Binatang Berbahaya
4142,591,Text,4142,11 Mei 2007,,,500-599,,Available,,,,,IDR,,,,Binatang Berbahaya
0654,591,Text,0654,-,,,500-599,,Available,,,,,IDR,,,,Binatang Menyusui Yang Hidup di Pohon 1
4202,523.8,Text,4202,12 Juli 2007,,,500-599,,Available,,,,,IDR,,,,Bintang
175,574,Text,175,8-Sep-89,,,500-599,,Available,,,,,IDR,,,,Biologi 3 Edisi baru 1989
1468,574,Text,1468,8-Sep-92,,,500-599,,Available,,,,,IDR,,,,Biologi Dan Metode Ilmiah
5856,574,Text,5856,14 Juli 2012,,,500-599,,Available,,,,,IDR,,,,Biologi Menyongsong OSN
4599,530.8,Text,4599,3 Juni 2008,,,500-599,,Available,,,,,IDR,,,,BOBOT 
5537,530,Text,5537,3 Maret 2011,,,500-599,,Available,,,,,IDR,,,,Buku Fisika Paling Mudah Sedunia
5857,590,Text,5857,14 Juli 2012,,,500-599,,Available,,,,,IDR,,,,Buku Pengetahuan Hewan Paling Unik Sedunia
5306,570,Text,5306,27-Sep-10,,,500-599,,Available,,,,,IDR,,,,Buku Pengetahuan Paling Jorok Sedunia
4797,551.6,Text,4797,12 Juli 2008,,,500-599,,Available,,,,,IDR,,,,"Buku Pintar Ilusi Optik, Cuaca, & Luar Angkasa"
4873,500,Text,4873,16 Oktober 2009,,,500-599,,Available,,,,,IDR,,,,Buku Pintar Sains Dan Eksperimen Untuk Anak
5538,570,Text,5538,3 Maret 2011,,,500-599,,Available,,,,,IDR,,,,Buku Pintar Serba Tahu Segala yang di Langit dan Bumi
5539,530,Text,5539,3 Maret 2011,,,500-599,,Available,,,,,IDR,,,,Buku Serba  Pintar Pengetahuan Dunia Mutakhir Untuk Anak Cerdas
0303,500,Text,0303,18-Sep-85,,,500-599,,Available,,,,,IDR,,,,BUMI 
16,525,Text,16,26 Mei 1992,,,500-599,,Available,,,,,IDR,,,,Bumi Dan langit FI : 3
4674,525,Text,4674,16 Mei 2009,,,500-599,,Available,,,,,IDR,,,,Bumi Kita Yang Mempesona
2773,550,Text,2773,25-Apr-00,,,500-599,,Available,,,,,IDR,,,,Bumi Siaga
2885,582,Text,2885,16 maret 2004,,,500-599,,Available,,,,,IDR,,,,Bunga Matahari
0163,534,Text,0163,18 Oktober 1984,,,500-599,,Available,,,,,IDR,,,,BUNYI 11
0651,598,Text,0651,-,,,500-599,,Available,,,,,IDR,,,,Burung Burung Yang Hidup Di Darat 1
0651,598,Text,0651,-,,,500-599,,Available,,,,,IDR,,,,Burung Burung Yang Hidup Dipohon 2
652,598,Text,652,-,,,500-599,,Available,,,,,IDR,,,,Burung Burung Yang Hidup Dipohon 3
0153,598,Text,0153,17 Oktober 1984,,,500-599,,Available,,,,,IDR,,,,Burung Dan Cara Hidupnya
4935,595,Text,4935,6-Sep-08,,,500-599,,Available,,,,,IDR,,,,Cacing Tanah
0159,599,Text,0159,18 Oktober 1984,,,500-599,,Available,,,,,IDR,,,,CAHAYA
0348,538,Text,0348,6 Agustus 1984,,,500-599,,Available,,,,,IDR,,,,cahaya dan warna
3848,535,Text,3848,22 Mei 2006,,,500-599,,Available,,,,,IDR,,,,Cahaya Dan Warna
6554,590,Text,6554,8 Agustus 2016,,,500-599,,Available,,,,,IDR,,,,Capung Teman Kita
6959,510.76,Text,6959,25-Sep-18,,,500-599,,Available,,,,,IDR,,,,"cara Cespleng Pintar Matematika SMP Kelas 7, 8, 9"
