item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update
7822,070.1 TIM i,Serial,7822,5 Desember 2023,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7874,006.754 PER b,Text,7874,4/17/2024,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7873,005.36 TIM d,Text,7873,4/17/2024,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7883,030 TIM e,Reference,7883,4/18/2024,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7661,028 SUS s,Text,7661,3 Oktober 2022,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5276,020 SAL m,Text,5276,9/16/2010,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7871,,Serial,7871,4/5/2024,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7894,70,Serial,7894,4/5/2024,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7897,70,Serial,7897,21 Mei 2024,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
,,Serial,,Juni 2014,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7953,028 TIM t,Text,7953,11/8/2024,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7916,070 TIM n,Text,7916,16 Agustus 2024,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7932,070 TIM n,Text,7932,9/19/2024,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7950,070 TIM n,Text,7950,30 Oktober 2024,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7952,70,Text,7952,11/8/2024,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7968,70,Text,7968,17 Desember 2024,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7970,70,Text,7970,20 Januari 2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7977,70,Text,7977,5 Februari 2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7738,030.9 WAS e,Reference,7738,28 Februari 2023,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7739,030.9 WAS e,Reference,7739,28 Februari 2023,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
6016,70,Text,6016,24 Mei 2013,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7999,70,Text,7999,26 Maret 2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8000,70,Text,8000,4/15/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8007,5.1,Text,8007,4/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8010,5.36,Text,8010,4/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8009,5.369,Text,8009,4/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8008,4.64,Text,8008,4/30/2015,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8006,30,Reference,8006,4/30/2015,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8004,30,Reference,8004,4/30/2015,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7329,4,Text,7329,11/6/2020,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8023,70,Text,8023,20 Juni 2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8037,70,Text,8037,14 Juli 2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8049,70,Text,8049,11 Agustus 2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8060,70,Text,8060,9/22/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8091,6.6,Text,8091,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8092,5,Text,8092,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8094,5,Text,8094,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8095,3,Text,8095,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8096,3,Text,8096,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8097,31,Reference,8097,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8098,31,Reference,8098,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8099,31,Reference,8099,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8100,31,Reference,8100,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8101,31,Reference,8101,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8102,31,Reference,8102,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8103,31,Reference,8103,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8104,31,Reference,8104,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8105,31,Reference,8105,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
8109,30,Reference,8109,9/30/2025,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
6669,153.8 TIM d,Text,6669,23 Mei 2017,,,100-199,,Available,,,,,IDR,,2/20/2026,2/20/2026
