414/89,020 TIM m,Text,,10 Nov. 1989,,,000-099,,Available,,,,,IDR,,,,Membina Perpustakaan Sekolah
5913,070.1 BUR a,Text,,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,,,National Geographic :Air
5914,070.1 SIM o,Text,,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,,,National Geographic : Otak
4645,028.5 BUZ m,Text,,16 Mei 2009,,,000-099,,Available,,,,,IDR,,,,Buku Pintar Mind Map Untuk Anak 
5917,070 TIM g,Text,,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,,,National Geograpchic : Genetika Dari DNA hingga Domba Dolly
5709,070 TIM g,Text,,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,,,National Geograpchic : Arkeologi Menguak Rahasia Masa lampau : Yunani Kuno
7541,070.1 TIM i,Serial,,3 Januari 2022,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Januari 2022
7568,070.1 TIM i,Serial,,10 Juni 2022,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari  Februari 2022
7567,070.1 TIM i,Serial,,10 Juni 2022,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Maret 2022
7569,070.1 TIM i,Serial,,10 Juni 2022,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari April 2022
7570,070.1 TIM i,Serial,,10 Juni 2022,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Mei 2022
7571,070.1 TIM i,Serial,,10 Juni 2022,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Juni 2022
7574,070.1 TIM i,Serial,,25 Juli 2022,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Juli 2022
7576,070.1 TIM i,Serial,,20 Agustus 2022,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Agustus  2022
7652,070.1 TIM i,Serial,,8-Sep-22,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari September 2022
7653,070.1 TIM i,Serial,,1Oktober 2022,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Oktober 2022
7685,070.1 TIM i,Serial,,2-Nov-22,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari November 2022
7720,070.1 TIM i,Serial,,6 Februari2023,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Februari 2023
7745,070.1 T,Serial,,13 Maret 2023,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Maret 2023
-,070.1 TIM i,Serial,,-,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari April  2023
7759,070.1 TIM i,Serial,,10 Agustus  2023,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Agustus 2023
7796,070.1 TIM i,Serial,,31 Oktober 2023,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Oktober 2023
7822,070.1 TIM i,Serial,,5 Desember 2023,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Desember  2023
7874,006.754 PER b,Text,,17-Apr-24,,,000-099,,Available,,,,,IDR,,,,Buku Pintar Jadi Content Creator 
7873,005.36 TIM d,Text,,17-Apr-24,,,000-099,,Available,,,,,IDR,,,,255 Tips&Trik Mudah Belajar Microsoft Excel
7883,030 TIM e,Reference,,18-Apr-24,,,000-099,,Available,,,,,IDR,,,,Ensiklopedi Pencegahan Terorisme
7661,028 SUS s,Text,,3 Oktober 2022,,,000-099,,Available,,,,,IDR,,,,Strategi Meraih Nilai A Akreditasi Perpustakaan sekolah
5276,020 SAL m,Text,,16-Sep-10,,,000-099,,Available,,,,,IDR,,,,Membangun Perpustakaan DiGITAL
7871,,Serial,,5-Apr-24,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Bulan Februari 2024
7894,070,Serial,,5-Apr-24,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari APRIL 2024
7897,070,Serial,,21 Mei 2024,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Bulan Mei 2024
,,Serial,,Juni 2014,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Bulan Juni 2024
7953,028 TIM t,Text,,8-Nov-24,,,000-099,,Available,,,,,IDR,,,,The Unbound Spirits: SMAK St. Albertus Malang
7916,070 TIM n,Text,,16 Agustus 2024,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia Agustus 2024
7932,070 TIM n,Text,,19-Sep-24,,,000-099,,Available,,,,,IDR,,,,National Geographic September 2024
7950,070 TIM n,Text,,30 Oktober 2024,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia Oktober 2024
7952,070,Text,,8-Nov-24,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia November 2024
7968,070,Text,,17 Desember 2024,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia Desember 2024
7970,070,Text,,20 Januari 2025,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia Januari 2025
7977,070,Text,,5 Februari 2025,,,000-099,,Available,,,,,IDR,,,,National Geographic Indonesia Februari 2025
7738,030.9 WAS e,Reference,,28 Februari 2023,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Jawa Tengah
7739,030.9 WAS e,Reference,,28 Februari 2023,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Indonesia Provinsi Jawa Timur
