title,gmd_name,edition,isbn_issn,publisher_name,publish_year,collation,series_title,call_number,language_name,place_name,classification,notes,image,sor,authors,topics
Menjadi Guru Idola,Text,,,Pustaka Inti,2005,,,370.7,Indonesia,Bekasi,370.7,,,,Amir Tengku Ramly,
Reformasi Pengajaran : salah Asuhan Orangtua?,Text,,,Grasindo,2000,,,370.1,Indonesia,Jakarta,370.1,,,,"J. Drost, SJ",
Mengenal Dongeng Dan Prosa Lama,Text,,,Pustaka Widyatama,2009,,,370,Indonesia,Yogyakarta,370,,,,Eko Sugiarto,
1000 Peribahasa Indonesia,Text,,,CV. Amin,1976,,,398,Indonesia,Surabaya,398,,,,Abdullah. Muh. Rosjid,
Penuntun Berwiraswasta,Text,,,Balai Pustaka,1993,,,338,Indonesia,Jakarta,338,,,,Ayo Yahya Heryanto,
Membina Minat Baca,Text,,,PT. Remaja Rosdakarya,1986,,,372.4,Indonesia,Bandung,372.4,,,,Kurt Franz,
20 Tip Komunikasi Di Tempat Kerja,Text,,,Prestasi Pustaka,2002,,,302.2,Indonesia,Jakarta,302.2,,,,"Eric Maisel, Ph.D",
Surat Menyurat Resmi bahasa Indonesia,Text,,,PT. Remaja Rosdakarya,1987,,,742,Indonesia,Bandung,742,,,,Drs. Soedjito,
Komunikasi Massa 1,Text,,,Bina Cipta,1982,,,302.2,Indonesia,Jakarta,302.2,,,,Dr. Phil. Astrid S. Susanto,
Komunikasi Massa 4,Text,,,Bina Cipta,1982,,,302.2,Indonesia,Jakarta,302.2,,,,Dr. Phil. Astrid S. Susanto,
jangan Pernah Berhenti Mengajar,Text,,,Azkiya,2020,,,370.15,Indonesia,Bogor,370.15,,,,TIM,
Metode Penelitihan Tindakan Kelas,Text,,,PT. Remaja Rosdakarya,2005,,,371.3,Indonesia,Bandung,371.3,,,,Prof. dr. Rochiati Wiriaatmadja,
Seks & Remaja Kristen ,Text,,,Kanisius,2002,,,370.1,Indonesia,Yogyakarta,370.1,,,,Jim Auer,
Teacher's Wisdom : Untaian Inspirasi dari Guru Untuk Guru,Text,,,Grasindo,2013,,,370.1,Indonesia,Jakarta,370.1,,,,TIM,
Pengalaman Dan Pendidikan,Text,,,Kepel Press,2002,,,371.3,Indonesia,Sleman,371.3,,,,John Dewey,
Kurikulum Yang Mencverdaskan Visi 2030 Dan pendidikan Alternatif,Text,,,Buku Kompas,2008,,,375,Indonesia,Jakarta,375,,,,TIM,
Belajar sambil Bermain,Text,,,Azkiya,2021,,,371,Indonesia,Bogor,371,,,,TIM,
reformasi Pendidikan Sebuah Rekomendasi,Text,,,Kanisius,2002,,,371,Indonesia,Yogyakarta,371,,,,Tim,
membangun Peradaban bangsa Dalam Perspektif Multikultural,Text,,,UM,2015,,,371,Indonesia,Malang,371,,,,"Prof. H. Ahmad Sonhadji, M.A.,Ph.D",
"Asesmen Kebutuhan, Pengambilan Keputusan Dan Perencanaan",Text,,,UM,2014,,,371,Indonesia,Malang,371,,,,"Prof. H. Ahmad Sonhadji, M.A.,Ph.D",
Manajemen Kelas Dan Pembelajaran Efektif,Text,,,Pustaka Ilalang,2020,,,371,Indonesia,lamongan,371,,,,"M. Saunan Al faruq, M.Pd",
Kurikulum Merdeka Dan Paradigma Pembelajaran Baru,Text,,,Yrama Widya,2022,,,375,Indonesia,Bandung,375,,,,"Dr. Deni Hadiansah, S.Pd.,M,Pd.",
Guru Powerful Guru Masa depan,Text,,,Kolbu,2006,,,371.1,Indonesia,Bandung,371.1,,,,Sukadi,
Paradigma & Implementasi Pelayanan Publik,Text,,,Kanisius,2008,,,302,Indonesia,Yogyakarta,302,,,,"Dr. H. Soekarwo, SH.M.Hum",
Melestarikan Alam Dan kehidupan,Text,,,Balai Pustaka,1997,,,304.2,Indonesia,Jakarta,304.2,,,,Drs. Sunardi,
Toulouse-Lautrec,Text,,,Quality Press,-,,,398,Indonesia,Jakarta,398,,,,Tony Hart & Susan Hellard,
Isadora Duncan,Text,,,PT. Elex Media Komputindo,1995,,,398,Indonesia,Jakarta,398,,,,Chang Su Ling,
Melangkah Bersama Untukmu Bumi Arema,Text,,,Aksara Tumapel,2008,,,324,Indonesia,malang,324,,,,Liga Alam M.,
Leonardo Da Vinci,Text,,,Quality Press,-,,,398,Indonesia,Jakarta,398,,,,Tony Hart & Susan Hellard,
Mencari Kebenaran Objektif Dampak Sistemik bank Century,Text,,,PT. Elex Media Komputindo,2010,,,332,Indonesia,Jakarta,332,,,,Sawidji Widoatmodjo,
Hampatong Kebudayaan Material Suku Dayak di Kalimantan,Text,,,Gramedia,1981,,,306,Indonesia,Jakarta,306,,,,jacob Vredenbregt,
Chopin,Text,,,Quality Press,-,,,398,Indonesia,Jakarta,398,,,,Ann Rachlin & Susan Hellard,
Fakta-Fakta Misteri hantu Dunia,Text,,,Wahyu Media,2012,,,398,Indonesia,Jakarta,398,,,,Ajen Dianawati,
strategi Menilai Ketrampilan Berpikir Tingkat Tinggi,Text,,,Kanisius,2021,,,370,Indonesia,Yogyakarta,370,,,,Herman Yosep Sunu Endrayanto,
Strategi Pendidikan Karakter,Text,,,Kanisius,2015,,,370.1,Indonesia,Yogyakarta,370.1,,,,Doni Koesoema A.,
Pendidikan Karakter Berbasis Kelas,Text,,,Kanisius,2018,,,370.1,Indonesia,Yogyakarta,370.1,,,,Doni Koesoema A.,
Pendidikan Karakter Berbasis Kultur Sekolah,Text,,,Kanisius,2018,,,370.1,Indonesia,Yogyakarta,370.1,,,,Doni Koesoema A.,
Pendidik karakter Di Zaman Keblinger,Text,,,Grasindo,2015,,,370.1,Indonesia,Yogyakarta,370.1,,,,Doni Koesoema A.,
Inspirasi Praktik Baik Pendidikan Karakter Berbasis Kultur Sekolah,Text,,,Kanisius,2020,,,370.1,Indonesia,Yogyakarta,370.1,,,,Doni Koesoema A.,
Inspirasi Praktik Baik Pendidikan karakter Berbasis Kelas Dan Komunitas,Text,,,Kanisius,2021,,,370.1,Indonesia,Yogyakarta,370.1,,,,Doni Koesoema A.,
Filateli selayang Pandang,Text,,,Perum Pos Dan Giro,-,,,383,Indonesia,Jakarta,383,,,,TIM,
Sekolah Bebas Narkoba,Text,,,Depdiknas,2002,,,363.4,Indonesia,Jakarta,363.4,,,,TIM,
Teknik Memimpin Rapat,Text,,,Kanisius,1986,,,302.3,Indonesia,Yogyakarta,302.3,,,,Dr. B.S. Mardiatmadja,
Guru Penggerak : Mendorong Gerak maju pendidikan Nasional?,Text,,,Andi,2021,,,371.1,Indonesia,Yogyakarta,371.1,,,,Wijaya Kusumah,
Do The Best AKM 2021,Text,,,Andi,2020,,,371,Indonesia,Jakarta,371,,,,Edulab,
Libas AKM Latihan Soal Dan Prediksi Berbasis AKM 2021,Text,,,Andi,2020,,,371,Indonesia,Yogyakarta,371,,,,"Fitri Lianingsih, M.Si",
Kisah Ramayana,Text,,,Erlangga,2016,,,398,Indonesia,Jakarta,398,,,,B. Suryosubroto,
Panduan Implementasi Penguatan Pendidikan Karakter,Text,,,Erlangga,2017,,,370,Indonesia,Jakarta,370,,,,Dyah Sriwilujeng,
Menyusun PTK Itu Gampang,Text,,,Erlangga,2013,,,371,Indonesia,Jakarta,371,,,,Ameliasari T. Kesuma,
Sekolah Adiwiyata,Text,,,Erlangga,2018,,,376,Indonesia,Jakarta,376,,,,Drs. Endang haris,
LIBAS AKM : Latihan Soal Dan Prediksi Berbasis AKM 2022,Text,,,Andi,2022,,,371.1,Indonesia,Yogyakarta,371.1,,,,"Fitri Lianingsih, M.Si",
"PTK "" Penelitihan Tindakan Kelas'",Text,,,Andi,2018,,,371.102,Indonesia,Yogyakarta,371.102,,,,Zainal Aqib,
Servant Leadership,Text,,,lautan Pustaka,2020,,,303.34,Indonesia,Yogyakarta,303.34,,,,DR. Harry Nenobais,
Pendidikan Karakter,Text,,,PT. RajaGrafindo Persada,2023,,,370.1,Indonesia,Depok,370.1,,,,Dr. Zainal Abidin,
Strategi-Strategi Pembelajaran Untuk Penelitihan Tindakan Kelas,Text,,,Surya Pena Gemilang,2009,,,371,Indonesia,Malang,371,,,,"Dra. Husnul Chotimah, M.Pd",
Pembelajaran Berorientasi AKM,Text,,,Bumi Akksara,2021,,,371.3,Indonesia,Jakarta,371.3,,,,"Dr. Ridwan Abdullah Sani, M.Si",
KUHP (Kitab Undang-Undang Hukum Pidana),Text,,,Rajawali Press,2023,,,348,Indonesia,Depok,348,,,,TIM,
Gentayangan,Text,,,PT. Elex Media Komputindo,2023,,,398.2,Indonesia,Jakarta,398.2,,,,Jounatan,
Bidik P5 Proyek Penguatan Profil Pelajar Pancasila Untuk SMP/MTs Kelas VIII : Kewirausahaan ,Text,,,Erlangga,2023,,,380.1,Indonesia,Jakarta,380.1,,,,Ernika Sondang -DKK,
Bidik P5 Proyek Penguatan Profil Pelajar Pancasila Untuk SMP/MTs Kelas VIII : Bangunlah Jiwa Dan Raganya,Text,,,Erlangga,2023,,,364,Indonesia,Jakarta,364,,,,Ernika Sondang -DKK,
Bidik P5 Proyek Penguatan Profil Pelajar Pancasila Untuk SMP/MTs Kelas VII : Bhinneka Tunggal Ika,Text,,,Erlangga,2023,,,390,Indonesia,Jakarta,390,,,,Ernika Sondang -DKK,
Bidik P5 Proyek Penguatan Profil Pelajar Pancasila Untuk SMP/MTs Kelas VII : Kewirausahaan ,Text,,,Erlangga,2023,,,338,Indonesia,Jakarta,338,,,,Ernika Sondang -DKK,
Era merdeka Belajar,Text,,,Andi,2023,,,,Indonesia,Yogyakarta,,,,,Lidia susanti-dkk,
Pengasuh anak di era internet,Text,,,ThinkFresh ,2004,,,370.19,Indonesia,Yogyakarta,370.19,,,,A. Setiono Mangoenprasodjo,
Lumba-Lumba  Animal Show Dolphin,Text,,,Bestari Kids,2009,,,398,Indonesia,Jakarta,398,,,,Koko Nata,
Cerita Radikal China,Text,,,Gramedia,2015,,,398,Indonesia,Jakarta,398,,,,Tan Huay Peng,
Psikologi Belajar,Text,,,Rajawali Press,2020,,,,Indonesia,Depok,,,,,Muhibbin Syah,
Kepemimpinan Pendidikan,Text,,,Pustaka Setia ,2015,,,,Indonesia,Bandung,,,,,Dr. Hasan Basri.M.Ag,
Kompas Pendidikan,Text,,,Zahra Publisher Group,2023,,,371,Indonesia,Malang,371,,,,Hendrikus Dasrimin,
Cerdas Berkarakter menyongsong Generasi Emas 2045,Text,,,Andi,2022,,,305.235,Indonesia,Yogyakarta,305.235,,,,Sri Sugiastuti,
Bimbingan Konseling Untuk SMP/MTs Kelas VII,Text,,,Andi,2024,,,373.236,Indonesia,Yogyakarta,373.236,,,,Naram Dwita -dkk,
Bimbingan Konseling Untuk SMP/MTs Kelas VIII,Text,,,Andi,2024,,,373.236,Indonesia,Yogyakarta,373.236,,,,Sugiyana-Sukamti,
Bimbingan Konseling Untuk SMP/MTs Kelas IX,Text,,,Andi,2024,,,373.236,Indonesia,Yogyakarta,373.236,,,,Kuswoyo Aji-dkk,
Stop Bullying! Siapa Takut! Ayo Lawan Perundungan,Text,,,Andi,2024,,,371.5,Indonesia,Yogyakarta,371.5,,,,TIM-Kreatif,
Retorika Metode Komunikasi Publik,Text,,,Rajawali Press,2019,,,302.224.2,Indonesia,Depok,302.224.2,,,,Zainul Maarif,
Langkah Mudah Penelitihan Tindakan Kelas Sebagai Pengembangan Profesi Guru,Text,,,Rajawali Press,2019,,,371.1,Indonesia,Depok,371.1,,,,Dr. Kunandar,
Kekerasan simbolik di Sekolah : Sebuah Ide Sosiologi Pendidikan Pierre Bourdieu,Text,,,Rajawali Press,2018,,,306.43,Indonesia,Depok,306.43,,,,Nanang Martono,
Pembelajaran berbasis Blended Learning,Text,,,Rajawali Press,2023,,,371.3,Indonesia,Depok,371.3,,,,"dr. Wasis D. Dwiyogo, M.Pd.",
Psikologi Pendidikan : Dengan Pendekatan teori-teori baru dalam psikologi edisi kedua,Text,,,Rajawali Press,2021,,,370.1,Indonesia,Depok,370.1,,,,Dr. Seto Mulyadi-dkk,
Patologi Sosial Jilid 1,Text,,,Rajawali Press,2017,,,361.1,Indonesia,Depok,361.1,,,,Dr. Kartini Kartono,
Patologi Sosial Jilid 2 ; Kenakalan Remaja,Text,,,Rajawali Press,2019,,,361.1,Indonesia,Depok,361.1,,,,Dr. Kartini Kartono,
OSN IPA SMP/MTs,Text,,,Andi,2024,,,371.3,Indonesia,Yogyakarta,371.3,,,,"Fitri Lianingsih,M.Si-dkk",
OSN IPS  SMP/MTs,Text,,,Andi,2024,,,371.3,Indonesia,Yogyakarta,371.3,,,,"Fitri Lianingsih,M.Si-dkk",
LIBAS ANBK Untuk SMP/MTs,Text,,,Andi,2024,,,371.3,Indonesia,Yogyakarta,371.3,,,,"Fitri Lianingsih,M.i",
FAST Fokus Dan Siap US 2024 SMP/MTs,Text,,,Andi,2024,,,371.3,Indonesia,Yogyakarta,371.3,,,,TIM-Edulab,
Mengenal Filsafat Pendidikan,Text,,,MNC,2022,,,370.1,Indonesia,Malang,370.1,,,,"Dr. Yulius Rustan Effendi, M.Pd.",
Memanfaatkan Waktu Luang,Text,,,Balai Pustaka,1976,,,370,Indonesia,Jakarta,370,,,,Shanti Shinta,
Millenial Teachers For Gen Z,Text,,,Noktah,2022,,,371,Indonesia,Yogyakarta,371,,,,Asrul Right & Farida,
Cerita Rakyat jawa Tengah Sunan Kalijaga,Text,,,Grasindo,1994,,,398,Indonesia,Jakarta,398,,,,Ade Soekrino SSP,
Dongen pengantar tidur jaka Kendil,Text,,,Karya agung,2005,,,398,Indonesia,Surabaya,398,,,,Tira Ikranegara,
Kapal Sang Penjelajah Samudra,Text,,,Bestari Kids,2009,,,,Indonesia,Jakarta,,,,,Hasna Nelfia,
Yang Terhebat,Text,,,Biru Langit ,,,,398,Indonesia,Malang,398,,,,Kiki Olivia Panjaitan,
Cerita Rakyat dari Kediri Klenting kuning,Text,,,Biru Langit ,,,,398,Indonesia,Malang,398,,,,Mashdar Zainal,
Sekolah Baru Dani,Text,,,Biru Langit ,,,,398,Indonesia,Malang,398,,,,TIM,
Naura dan Masker Kakek ,Text,,,Biru Langit ,,,,398,Indonesia,Malang,398,,,,Shofi Nur Rahmah,
Panduan Pemasyarakatan Undang-Undang Dasar Negara Repubulik Indonesia ,Text,,,Seketariat Jendral MPR RI,2017,,,342.02,Indonesia,Jakarta,342.02,,,,TIM,
Materi Sosialisasi Empat Pilar MPR RI,Text,,,Seketariat Jendral MPR RI,2017,,,320.5,Indonesia,Jakarta,320.5,,,,TIM ,
Bahan Tayang Materi Sosialisasi Empat Pilar MPR RI,Text,,,Seketariat Jendral MPR RI,2017,,,342.05,Indonesia,Jakarta,342.05,,,,TIM,
Undang-Undang Dasar Negara Republik Indonesia Tahun 1945,Text,,,Seketariat Jendral MPR RI,2017,,,342.02,Indonesia,Jakarta,342.02,,,,TIM,
Ketetapan MPR RI Nomor I/ MPR/ 2003,Text,,,Seketariat Jendral MPR RI,2017,,,306.2,Indonesia,Jakarta,306.2,,,,TIM ,
Seni Mengukir kata,Text,,,MLC,2005,,,401,Indonesia,Bandung,401,,,,Mulyadhi Kartanegara,
Sugih Tanpa Banda,Text,,,Pusta Utama Grafiti,1994,,,408,Indonesia,Jakarta,408,,,,Umar kayam,
Thousand Cranes,Text,,,Tuttle Publishing,1967,,,420,Inggris,Boston,420,,,,Yasunari Kawabata,
Humpunan Ringkasan Dan Tinjauan Roman Drama Novel,Text,,,Sinar Wijaya,1983,,,408,Indonesia,Surabaya,408,,,,Drs. Soekono Wirjosoedarmo,
Pintar Berbahasa Indonesia 1,Text,,,Depdikub,1994,,,410,Indonesia,Jakarta,410,,,,J.B. badudu,
Bahasa Indonesia yang Salah Dan yang Benar,Text,,,Andi,1992,,,410,Indonesia,Yogyakarta,410,,,,M. Ramlan -dkk,
Paham Bahasa Inggris,Text,,,UM Press,2008,,,428,Indonesia,Malang ,428,,,,"Drs. Murdibjono, M.A.",
Bahasa mandarin yang baik dan Benar,Text,,,Grasindo,2002,,,495.1,Indonesia,Jakarta,495.1,,,,"Suparto. ST.,BA",
Siap EBTA bahasa Inggeris,Text,,,-,-,,,428,Inggris,-,428,,,,Surayin BA.,
English Structure  How to learn and understand English Structure Easily and Quickly,Text,,,Bayumedia Publishing,2011,,,420,Indonesia,Malang ,420,,,,"Elizabeth Rustina Wardhani, SS",
Tata Bahasa Baku  Bahasa Indonesia,Text,,,Balai Pustaka,1988,,,415,Indonesia,Jakarta,415,,,,TIM,
Sari Kata bahasa Indonesia,Text,,,Marfiah,1974,,,410,Indonesia,Surabaya,410,,,,S. Prawiroatmojo,
Sastra Indonesia Dan Perjuangan Bangsa,Text,,,Puspa swara,1993,,,408,Indonesia,Jakarta,408,,,,H.B. Jassin,
Kiat Menulis Deskripsi Narasi Lukisan Dan Cerita,Text,,,Pustaka Widyatama,2005,,,411,Indonesia,Yogyakarta,411,,,,Dra. Vero Sudiati,
1234 Peribahasa Dan ungkapan,Text,,,CV.ARTAKA,1986,,,413,Indonesia,Klaten,413,,,,Y. Rotyaswati,
Popular Prepositions,Text,,,-,-,,,420,Inggris,-,420,,,,Cecilia Guno Samekto,
Morfologi Bahasa Indonesia Untuk SMTP,Text,,,Kanisius,1987,,,415,Indonesia,Yogyakarta,415,,,,T. Heru Kasida Brataatmaja,
English Conversation 2 For SMP Student,Text,,,Tiga serangkai,1988,,,420,Inggris,Solo,420,,,,Dra. Elly Wahyuni dkk,
Morfologi Bahasa Edisi Kedua,Text,,,Gramedia,1988,,,405,Indonesia,Jakarta,405,,,,Jos Daniel Prera,
Inilah bahasa Indonesia yang Benar,Text,,,Gramedia,1984,,,410,Indonesia,Jakarta,410,,,,J.S. badudu,
Lado English Series Book 1,Text,,,"Regents Publishing Company, Inc",1978,,,420,Indonesia,New York,420,,,,Robert Lado,
Penulisan Berita Edisi kedua,Text,,,Univ. Atmajaya ,1995,,,400.2,Indonesia,Yogyakarta,400.2,,,,Ana Nadhya Abrar,
Percakapan  Bahasa Korea Sehari-Hari,Text,,,Indonesia Tera,2009,,,495.7,Indonesia,Yogyakarta,495.7,,,,"Dr. Novi Indrastuti, M.Hym.",
Percakapan Inggris-Indonesia Melalui Drama 1,Text,,,Harmoni,2005,,,420,Indonesia & Inggris,-,420,,,,TIM,
100 Trik Menembus Toefl,Text,,,Book Marks,2005,,,420,Indonesia,Depok,420,,,,Achmad Fanani,
bookworm ekstra Brain Boosters,Text,,,BookwormConsultants,1990,,,420,Indonesia,Singapore,420,,,,TIM,
Hai Aku suka Menulis,Text,,,Read Publishing,2007,,,411,Indonesia,Bandung,411,,,,Ali Muakhir,
This Way Readers The Tea  Makers,Text,,,Thieme-Zutphen,-,,,420,Inggris,Amerika,420,,,,L. Mligren & M. Walker,
What Your Story?,Text,,,MLC,2005,,,400.4,Indonesia,Bandung,400.4,,,,marion Dane Bauer,
Tips Bercerita,Text,,,Kairos,2005,,,-,Indonesia,Yogyakarta,-,,,,Ayub Yahya,
Buku Pelajaran Bahasa Dan sastra Indonesia 3a,Text,,,Gramedia,1989,,,400,Indonesia,Jakarta,400,,,,Drs. A. Rumadi & Drs. Kanis barung,
The Computer Virus,Text,,,Gramedia Pustaka Utama,2003,,,420,Inggris,Jakarta,420,,,,Stephen Speight,
"Tata Bahasa Indonesia, Penggolongan Kata",Text,,,Andi,1985,,,415,Indonesia,Yogyakarta,415,,,,Prof Drs. M. Ramlan,
Komposisi,Text,,,Nusa Indah,1971,,,410.1,Indonesia,Ende-Flores,410.1,,,,dr. Gorys Keraf,
DiSekitar Bahasa  Indonesia Kumpulan Karangan,Text,,,Effhar Publishing,1985,,,400,Indonesia,Semarang,400,,,,Soedjarwo,
English Objective Tests For SMP 2 b,Text,,,PT. Intan Pariwara,1984,,,420,Inggris,Klaten,420,,,,Nugroho B.S.,
Bulir-Bulir Masalah KeBahasa Indonesiaan Mutakhir,Text,,,Dioma,2003,,,400.4,Indonesia,Malang ,400.4,,,,"Dr.R.Kunjana Rahardi, M.Hum",
D.I.Y. SCIENCE PROJECTS 2,Text,,,Henry Marketing service,1992,,,420,Inggris,Singapore,420,,,,,
The Six Series Of English Structure For SMP Students 1A,Text,,,PT. Intan Pariwara,1987,,,420,Inggris,Klaten,420,,,,Joko Kuntoro,
English For SMP,Text,,,PT. Intan Pariwara,1982,,,420,Inggris,Klaten,420,,,,AL. Soemedi,
Bunga Rampai EBTANAS Bahasa Indonesia,Text,,,PT. Intan Pariwara,1988,,,490,Indonesia,Klaten,490,,,,Dra. S. tanjung,
ENGLISH,Text,,,-,1972,,,420,Inggris,-,420,,,,Book Five,
Bausastra Jawa Indonesia,Text,,,CV. Haji MasaAgung,1989,,,400.3,Indonesia,Jakarta,400.3,,,,S. Prawiroatmojo,
Adverb : kata Keterangan,Text,,,Grasindo,1996,,,425,Inggris,Jakarta,425,,,,Wiliting,
The Noun : Kata Benda,Text,,,Grasindo,1996,,,425,Inggris,Jakarta,425,,,,Wiliting,
The Numeral : Kata Bilangan,Text,,,Grasindo,1996,,,425,Inggris,Jakarta,425,,,,Wiliting,
The Object : Objek,Text,,,Grasindo,1996,,,425,Indonesia,Jakarta,425,,,,Wiliting,
The Gerund,Text,,,Grasindo,1996,,,425,Inggris,Jakarta,425,,,,Wiliting,
The Article,Text,,,Grasindo,1996,,,425,Inggris,Jakarta,425,,,,Wiliting,
The Verb : kata Kerja,Text,,,Grasindo,1996,,,425,Inggris,Jakarta,425,,,,Wiliting,
The Participle : kata Kerja Partisip,Text,,,Grasindo,1996,,,425,Inggris,Jakarta,425,,,,Wiliting,
The Conjunction And The Interjection,Text,,,Grasindo,1996,,,425,Inggris,Jakarta,425,,,,Wiliting,
1000 Peribahasa Dan Ungkapan,Text,,,Intan,1981,,,401.4,Indonesia,Klaten,401.4,,,,S. Purwasudirja,
How To Say,Text,,,Kanisius,1974,,,420,Inggris,Yogyakarta,420,,,,Philip Binham,
2400 Peribahasa Bahasa Indonesia,Text,,,Penabur Ilmu,2001,,,401.4,Indonesia,Bandung,401.4,,,,TIM,
Tanya jawab Ejaan bahasa Indonesia Untuk Umum,Text,,,Gramedia,1992,,,401.52,Indonesia,Jakarta,401.52,,,,Mustakim,
Gejala Dan Gaya bahasa Indonesia,Text,,,CV. Karyono,1988,,,410,Indonesia,Yogyakarta,410,,,,Drs.M.Zainal Falah S.Hud,
Fungsi Bahasa & Sikap Bahasa,Text,,,Nusa Indah,1974,,,400,Indonesia,Ende-Flores,400,,,,Harimurti Kridalaksana,
Keberbahasaan Dan Kepenulisan bahasa Indonesia,Text,,,Depdiknas,2000,,,418.07,Indonesia,Jakarta,418.07,,,,Jos Daniel Parera,
Membina Ketrampilan Menulis Paragraf Dan Pengembangannya ,Text,,,Angkasa,1987,,,400,Indonesia,Bandung,400,,,,Drs. Djago Tarigan,
Pengajaran Pragmatik,Text,,,Angkasa,1986,,,410,Indonesia,Bandung,410,,,,Prof Dr. Henry Tarigan,
Unsur Serapan dalam bahasa Indonesia Dan Pengajarannya,Text,,,Nusa Indah,1987,,,490,Indonesia,Ende-Flores,490,,,,Dr. Mansoer Pateda,
Tata Bahasa Praktis bahasa Indonesia,Text,,,Bhratara,1988,,,410,Indonesia,Jakarta,410,,,,Abdul Chaer,
Panduan Berbahasa Indonesia Dengan Baik Dan Benar,Text,,,Pustaka Jaya,1995,,,410,Indonesia,Jakarta,410,,,,S. Effendi,
Berkenalan Dengan Ilmubahasa Pragmatik,Text,,,Dioma,2003,,,400.4,Indonesia,Malang ,400.4,,,,"Dr.R. Kunjana rahardi, M.Hum.",
Tata Bahasa Baku  Bahasa Indonesia,Text,,,Depdikbud,1988,,,415,Indonesia,Jakarta,415,,,,TIM,
How To Make Soft Toys,Text,,,Anne Hulbert,1974,,,420,Indonesia,Singapore,420,,,,John bartholomew and Son Ltd,
mangan Ora mangan Kumpul,Text,,,Grafiti,1991,,,408,Indonesia,Jakarta,408,,,,Umar Kayam,
Angkatan '66 Prosa Dan Puisi,Text,,,Gunung Agung,1985,,,408,Indonesia,Jakarta,408,,,,H.B. Jassin,
Structure And Reading Comprehension For SMP 1B Semester 2,Text,,,Orba Shakti,1987,,,420,Inggris,Bandung,420,,,,TIM,
EYD Lengkap,Text,,,Pustaka Widyatama,2009,,,411.52,Indonesia,Jakarta,411.52,,,,TIM,
Argumentasi Dan Narasi Komosisi lanjutan III,Text,,,Gramedia,1982,,,410.1,Indonesia,Jakarta,410.1,,,,Dr. Gorys Keraf,
Buku Dan Pengarang,Text,,,Pustaka Prima,1965,,,8x0.9,Indonesia,Jakarta,8x0.9,,,,J.S. badudu,
EYD Lengkap,Text,,,Pustaka Widyatama,2008,,,411.52,Indonesia,Jakarta,411.52,,,,TIM,
Pengantar Linguistik Umum Fonetik Dan Fonemik Seri D,Text,,,Nusa Indah,1983,,,410,Indonesia,Ende-Flores,410,,,,Jos Daniel Parera,
English Objective Tests For SMP 3a,Text,,,PT. Intan a,1984,,,420,Inggris,Klaten,420,,,,Nugroho B.S.,
English Objective Tests For SMP 3b,Text,,,PT. Intan a,1984,,,420,Inggris,Klaten,420,,,,Nugroho B.S.,
"Cara Cespleng Pintar bahasa Inggris SMP Kelas 7,8,9",Text,,,Andi,2015,,,420.076,Inggris,Yogyakarta,420.076,,,,TIM,
Indonesia Folk Tales,Text,,,Djambatan,1998,,,420,Inggris,Jakarta,420,,,,Margaret Muth Alibasah,
Folk tales From Bali And Lombok,Text,,,Djambatan,1999,,,420,Inggris,Jakarta,420,,,,Margaret Muth Alibasah,
Favourite Stories FromCentral Asia,Text,,,PT. Rosda Jayaputra,1983,,,420,Inggris,Jakarta,420,,,,Irene-Anne Monteiro,
Favourite Chinese Stories,Text,,,PT. Rosda Jayaputra,1967,,,420,Inggris,Jakarta,420,,,,Leon Comber,
Favourite Stories From India,Text,,,PT. Rosda Jayaputra,1975,,,420,Inggris,Jakarta,420,,,,marguerite Siek,
Favourite Stories From Taiwan,Text,,,PT. Rosda Jayaputra,1975,,,420,Inggris,Jakarta,420,,,,Leon Comber,
More Favourite Stories From Sri Lanka,Text,,,PT. Rosda Jayaputra,1983,,,420,Inggris,Jakarta,420,,,,Indi Rana,
Favourite Stories From Hong Kong ,Text,,,PT. Rosda Jayaputra,1971,,,420,Inggris,Jakarta,420,,,,Leon Comber,
More FavouriteChinese Stories,Text,,,PT. Rosda Jayaputra,1984,,,420,Inggris,Jakarta,420,,,,Ho Man Yee,
Favourite Stories From Burma,Text,,,PT. Rosda Jayaputra,1975,,,420,Inggris,Jakarta,420,,,,marguerite Siek,
More Favourite Stories From Vietnam,Text,,,PT. Rosda Jayaputra,1985,,,420,Inggris,Jakarta,420,,,,marguerite Siek,
John Wesley,Text,,,Ladybird Books,1977,,,420,Inggris,England,420,,,,John A. Vickers,
The Fireman,Text,,,Ladybird Books,,,,420,Inggris,England,420,,,,Vera Southgate,
Under The Ground,Text,,,Ladybird Books,1975,,,420,Inggris,1962,420,,,,james Webster,
Man And His Car,Text,,,Ladybird Books,1974,,,420,Inggris,England,420,,,,james Webster,
Poilar Regions,Text,,,Ladybird Books,1977,,,420,Inggris,England,420,,,,P.H. amstrong,
Birds And How They Live,Text,,,Ladybird Books,1996,,,420,Indonesia,England,420,,,,"F.E. Newing, B.Sc",
Moutains,Text,,,Ladybird Books,1977,,,420,Indonesia,England,420,,,,P.H. amstrong,
Man And His Car,Text,,,Ladybird Books,1974,,,420,Inggris,England,420,,,,James Webster,
Trains,Text,,,Ladybird Books,1974,,,420,Inggris,England,420,,,,David Carey,
Chocolate And Cocoa,Text,,,Ladybird Books,1977,,,420,Inggris,England,420,,,,Michael Smith,
Homes,Text,,,Ladybird Books,1975,,,420,Inggris,England,420,,,,James Webster,
SOLDIERS,Text,,,Ladybird Books,1976,,,420,Inggris,England,420,,,,John West,
