title,gmd_name,edition,isbn_issn,publisher_name,publish_year,collation,series_title,call_number,language_name,place_name,classification,notes,image,sor,authors,topics
Mudah Membuat Aplikasi Android ,Text,,,Andi,2011,,,4.64,Indonesia,yogyakarta,4.64,,,,Stephanus Hermawan S.,
Ensiklopedia ilmuwan Fisika Abad 20,Reference,,,Pustaka Referensi,2020,,,30,Indonesia,yogyakarta,30,,,,Taufik Hidayat,
Ensiklopedia Alam Semesta & Luar Angkasa,Reference,,,Pustaka Referensi,2020,,,30,Indonesia,yogyakarta,30,,,,Taufik Hidayat,
Learning More Formation & Communication Technology 3,Text,,,Grafindo,2012,,,4,Indonesia,Bandung,4,,,,Lia Kamila Kulsum,
National Geographic Indonesia Juni 2025,Text,,,Gramedia,2025,,,70,Indonesia,Jakarta,70,,,,TIM,
National Geograpich Indonesia Juli 2025,Text,,,Gramedia,2025,,,70,Indonesia,Jakarta,70,,,,TIM,
National Geographic Indonesia Agustus 2025,Text,,,Gramedia,2025,,,70,Indonesia,Jakarta,70,,,,TIM,
National Geograpich September 2025,Text,,,Gramedia,2025,,,70,Indonesia,Jakarta,70,,,,TIM,
Buku Pintar (Jadi) Content Creator ,Text,,,Andi,2023,,,6.6,Indonesia,yogyakarta,6.6,,,,Arif Budi Permana,
Desain dan Pemograman Drone Cerdas,Text,,,Andi,2021,,,5,Indonesia,yogyakarta,5,,,,TIM,
Koding & Kecerdasan Artifisial untuk kelas SMP 7 SMP/MTs,Text,,,Andi,2025,,,5,Indonesia,yogyakarta,5,,,,"Muhammad Firman Suwarya, M. Kom",
Koding & Kecerdasan Artifisial untuk kelas SMP 8 SMP/MTs,Text,,,Andi,2025,,,3,Indonesia,yogyakarta,3,,,,"Muhammad Firman Suwarya, M. Kom",
Kooding & Kecerdasan,Text,,,Andi,2025,,,3,Indonesia,yogyakarta,3,,,,"Muhammad Firman Suwarya, M. Kom",
Ensiklopedia Indonesia Provinsi Bali,Reference,,,Pustaka Referensi,2021,,,31,Indonesia,yogyakarta,31,,,,Kusnadi Wasrie,
Ensiklopedia Indonesia Provinsi Kalimantan Selatan,Reference,,,Pustaka Referensi,2021,,,31,Indonesia,yogyakarta,31,,,,Kusnadi Wasrie,
Ensiklopedia Indonesia Provinsi Kalimantan Barat ,Reference,,,Pustaka Referensi,2021,,,31,Indonesia,yogyakarta,31,,,,Kusnadi Wasrie,
