item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update,title
5914,070.1 SIM o,Text,5914,10/17/2012,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4645,028.5 BUZ m,Text,4645,5/16/2009,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5917,070 TIM g,Text,5917,10/17/2012,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5709,070 TIM g,Text,5709,10/17/2012,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7541,070.1 TIM i,Serial,7541,1/3/2022,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7568,070.1 TIM i,Serial,7568,6/10/2022,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7567,070.1 TIM i,Serial,7567,6/10/2022,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7569,070.1 TIM i,Serial,7569,6/10/2022,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7570,070.1 TIM i,Serial,7570,6/10/2022,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7571,070.1 TIM i,Serial,7571,6/10/2022,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7574,070.1 TIM i,Serial,7574,7/25/2022,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7576,070.1 TIM i,Serial,7576,8/20/2022,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7652,070.1 TIM i,Serial,7652,9/8/2022,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7653,070.1 TIM i,Serial,7653,10/1/2022,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7685,070.1 TIM i,Serial,7685,11/2/2022,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7720,070.1 TIM i,Serial,7720,2/6/2023,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7745,070.1 T,Serial,7745,3/13/2023,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
AUTO-115,070.1 TIM i,Serial,,,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7759,070.1 TIM i,Serial,7759,8/10/2023,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
