item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update,title
7467,070.1 TIM i,Serial,7467,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari Mei 2021
7466,070.1 TIM i,Serial,7466,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari Juni 2021
7468,070.1 TIM r,Text,7468,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Rumah Tangga Kesehatan April 2021
7469,070.1 TIM r,Text,7469,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Rumah Tangga Kesehatan Mei 2021
7470,070.1 TIM r,Text,7470,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Rumah Tangga Kesehatan Juni 2021
7471,070.1 TIM r,Text,7471,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Rumah Tangga Kesehatan Juli 2021
7171,070 TIM k,Text,7171,28 januari 2020,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Kesehatan Menakjubkan!
5704,070.1 CRO p,Text,5704,5 Oktober 2011,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geographic : Pueblo
5912,070.1 SIM c,Text,5912,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geographic :Cuaca Ekstrem
5913,070.1 BUR a,Text,5913,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geographic :Air
5914,070.1 SIM o,Text,5914,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geographic : Otak
4645,028.5 BUZ m,Text,4645,16 Mei 2009,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Buku Pintar Mind Map Untuk Anak 
5917,070 TIM g,Text,5917,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geograpchic : Genetika Dari DNA hingga Domba Dolly
5709,070 TIM g,Text,5709,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geograpchic : Arkeologi Menguak Rahasia Masa lampau : Yunani Kuno
7541,070.1 TIM i,Serial,7541,3 Januari 2022,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari Januari 2022
7568,070.1 TIM i,Serial,7568,10 Juni 2022,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari  Februari 2022
7567,070.1 TIM i,Serial,7567,10 Juni 2022,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari Maret 2022
7569,070.1 TIM i,Serial,7569,10 Juni 2022,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari April 2022
7570,070.1 TIM i,Serial,7570,10 Juni 2022,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari Mei 2022
